title,original_title,info_text,year,tail,rating,num_ratings,quote,cn_title,en_title
看不见的客人 / /Contratiempo,布局(台),导演: 奥里奥尔·保罗 Oriol Paulo 主演: 马里奥·卡萨斯 Mario Casas / 阿... 2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚,2016,西班牙 / 剧情 犯罪 悬疑 惊悚,8.8,1426483,你以为你以为的就是你以为的。,看不见的客人,Contratiempo
拯救大兵瑞恩 / /Saving Private Ryan,抢救雷恩大兵(台),导演: 史蒂文·斯皮尔伯格 Steven Spielberg 主演: 汤姆·汉克斯 Tom Hanks... 1998 / 美国 / 剧情 战争,1998,美国 / 剧情 战争,9.1,718546,,拯救大兵瑞恩,Saving Private Ryan
沉默的羔羊 / /The Silence of the Lambs,,导演: 乔纳森·戴米 Jonathan Demme 主演: 朱迪·福斯特 Jodie Foster / 安... 1991 / 美国 / 剧情 犯罪 惊悚,1991,美国 / 剧情 犯罪 惊悚,8.9,1005978,,沉默的羔羊,The Silence of the Lambs
小鞋子 / /بچه های آسمان,小童鞋,导演: 马基德·马基迪 Majid Majidi 主演: 默罕默德·阿米尔·纳吉 Mohamma... 1997 / 伊朗 / 剧情 儿童 家庭,1997,伊朗 / 剧情 儿童 家庭,9.2,459165,,小鞋子,بچه های آسمان
布达佩斯大饭店 / /The Grand Budapest Hotel,欢迎来到布达佩斯大饭店(台),导演: 韦斯·安德森 Wes Anderson 主演: 拉尔夫·费因斯 Ralph Fiennes / ... 2014 / 美国 德国 英国 / 剧情 喜剧 冒险,2014,美国 德国 英国 / 剧情 喜剧 冒险,8.9,1073803,小清新的故事里注入了大历史的情怀。,布达佩斯大饭店,The Grand Budapest Hotel
飞越疯人院 / /One Flew Over the Cuckoo's Nest,飞越喜鹊巢,导演: 米洛斯·福尔曼 Miloš Forman 主演: 杰克·尼科尔森 Jack Nichols... 1975 / 美国 / 剧情,1975,美国 / 剧情,9.1,598761,,飞越疯人院,One Flew Over the Cuckoo's Nest
蝴蝶效应 / /The Butterfly Effect,,导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber 主... 2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚,2004,美国 加拿大 / 剧情 悬疑 科幻 惊悚,8.9,1057436,人的命运被自己瞬间的抉择改变。,蝴蝶效应,The Butterfly Effect
禁闭岛 / /Shutter Island,隔离岛(台),导演: Martin Scorsese 主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ... 2010 / 美国 / 剧情 悬疑 惊悚,2010,美国 / 剧情 悬疑 惊悚,8.9,1101983,昔日翩翩少年，今日大腹便便。,禁闭岛,Shutter Island
心灵捕手 / /Good Will Hunting,心灵捕手,导演: 格斯·范·桑特 Gus Van Sant 主演: 马特·达蒙 Matt Damon / 罗宾·... 1997 / 美国 / 剧情,1997,美国 / 剧情,9.0,807700,,心灵捕手,Good Will Hunting
致命魔术 / /The Prestige,顶尖对决(台),导演: 克里斯托弗·诺兰 Christopher Nolan 主演: 休·杰克曼 Hugh Jackman... 2006 / 英国 美国 / 剧情 悬疑 惊悚,2006,英国 美国 / 剧情 悬疑 惊悚,8.9,955911,孪生蝙蝠侠大战克隆金刚狼。,致命魔术,The Prestige
